name,education,networth
Amos Hostetter Jr.,"['Amherst College', 'Harvard University', 'Economics']",3.2E9
Ana Patricia Botín,"['Bryn Mawr College', 'Harvard Business School']",1.35E8
Anand Mahindra,"['Lawrence School Lovedale', 'Harvard University', 'Harvard Business School']",1.2E9
Anil Ambani,"['Wharton School of the University of Pennsylvania', 'University of Mumbai']",4.3E9
Anil Kumar,"['Imperial College London', 'Indian Institute of Technology Bombay', 'Wharton School of the University of Pennsylvania', 'The Doon School']",50.0
Anthony Pritzker,"['Dartmouth College', 'University of Chicago']",3.4E9
Alejandro Santo Domingo,"['Harvard University', 'Hotchkiss School']",4.6E9
Alexander Knaster,"['Carnegie Mellon University', 'Harvard Business School']",2.2E9
Allan Gray (investor),"['Rhodes University', 'Harvard Business School']",1.05E10
Ayman Asfari,"['University of Pennsylvania', 'Villanova University']",1.2E9
Abigail Johnson,"['Hobart and William Smith Colleges', 'Harvard Business School']",1.37E10
Abílio Diniz,"['Columbia University', 'University of Dayton', 'Fundação Getúlio Vargas']",4.4E9
Alan Leventhal,"['Dartmouth College', 'Northwestern University']",1.0E9
Alan Trefler,['Dartmouth College'],1.0E9
Belmiro de Azevedo,"['Stanford University', 'Harvard University', 'University of Porto']",1.5E9
Ben Silbermann,['Yale University'],1.6E9
Ben Stein,"['Columbia University', 'Yale Law School']",2.0E7
Bernard Broermann,['Harvard University'],2.9E9
Bill Ackman,"['Harvard College', 'Harvard Business School']",2.6E9
Brian L. Roberts,"['Wharton School of the University of Pennsylvania', 'Germantown Academy']",1.47E9
Bruno Schroder,"['University College Oxford', 'François Rabelais University', 'Harvard Business School', 'Eton College']",5.0E9
Charlie Munger,"['California Institute of Technology', 'University of Michigan', 'Berkshire Hathaway', 'Wesco Financial', 'Daily Journal Corporation', 'Harvard Law School']",1.21E9
Chris Hohn,"['University of Southampton', 'Harvard Business School']","['1.1E9', '6.57E8']"
Chung Yong-jin,['Brown University'],1.3E9
Cargill MacMillan Jr,['Yale University'],2.6E9
Carl Icahn,"['Princeton University', 'New York University School of Medicine']",1.7E10
Chad Hurley,['Indiana University of Pennsylvania'],3.55E8
Charles Bartlett Johnson,['Yale University'],4.6E9
Charles Butt,"['University of Pennsylvania', 'Harvard Business School']",1.08E10
David Bonderman,"['University of Washington', 'Harvard Law School']",2.6E9
David Einhorn (hedge fund manager),['Cornell University'],1.93E9
David Gottesman,"['Trinity College (Connecticut)', 'Harvard University']",1.76E9
David Rockefeller,"['University of Chicago', 'London School of Economics', 'Harvard University', 'Doctor of Philosophy', 'Bachelor of Arts']",3.0E9
Dirk Edward Ziff,"['Columbia University', 'Harvard University']",5.0E9
Donald Trump Jr.,['University of Pennsylvania'],2.75E8
Dustin Moskovitz,['Harvard University'],9.2E9
Daniel A. D'Aniello,"['Syracuse University', 'Harvard Business School']",3.0E9
Daniel M. Ziff,['Columbia University'],5.0E9
Daniel Och,['University of Pennsylvania'],3.9E9
Daniel S. Loeb,['Columbia University'],2.6E9
Edmund Ansin,"['University of Pennsylvania', 'Wharton School of the University of Pennsylvania']",1.4E9
Eduardo Saverin,['Harvard University'],7.2E9
Edward Harkness,"[""St Paul's School London"", 'Columbia Law School', 'Yale College']",1.55E8
Eric Schmidt,"['Princeton University', 'University of California Berkeley']",1.03E10
Ernesto Bertarelli,"['Babson College', 'Harvard Business School']",8.7E9
Eugenio Lopez III,"['Bowdoin College', 'Harvard Business School']",9.0E7
Frank Batten,"['University of Virginia', 'Harvard University']",2.3E9
Frederick R. Koch,"['Harvard University', 'Playwright', 'Bachelor of Arts', 'Master of Fine Arts', 'Liberal arts education']",4.0E9
Frederick W. Smith,['Yale University'],3.6E9
Forrest Mars Jr.,"['Yale University', 'Hotchkiss School', 'New York University']",2.36E10
Forrest Mars Sr.,['Yale University'],4.0E9
George Joseph (West Virginia),['Harvard University'],1.15E9
George Kaiser,"['Harvard College', 'Harvard Business School']",7.1E9
George Lindemann,['Wharton School of the University of Pennsylvania'],4.0E9
Gianfelice Rocca,"['University of Milan', 'Harvard Business School']",4.7E9
Gabe Newell,['Harvard University'],2.2E9
Gordon McLendon,"['Yale University', 'Harvard Law School']",2.5E8
Hiroshi Mikitani,"['Hitotsubashi University', 'Harvard University']",8.7E9
Howard Marks (investor),"['University of Chicago', 'Wharton School of the University of Pennsylvania']",2.0E9
Hyatt Bass,['Princeton University'],2.8E8
Hüsnü Özyeğin,"['Oregon State University', 'Harvard University']",2.7E9
Hansjörg Wyss,"['ETH Zurich', 'Harvard Business School']",6.1E9
Henry Kravis,"['Columbia Business School', 'Claremont McKenna College']",4.8E9
Henry Silverman,"['Williams College', 'University of Pennsylvania Law School']",3.0E8
Henry Swieca,"['Columbia Business School', 'Stony Brook University']",1.3E9
Indra Nooyi,"['Indian Institute of Management Calcutta', 'Madras Christian College', 'Yale School of Management']",1.44E8
Irvine Laidlaw Baron Laidlaw,"['Columbia Business School', 'University of Leeds', 'Merchiston Castle School']",7.45E8
Irwin M. Jacobs,"['Massachusetts Institute of Technology', 'Cornell University', 'Doctor of Science']",1.23E9
Jerry Speyer,['Columbia University'],4.0E9
Jim Balsillie,"['Wilfrid Laurier University', 'University of Toronto', 'Harvard Business School']",8.0E8
Jim Breyer,"['Stanford University', 'Harvard University']",2.0E9
Jim Pattison,['University of British Columbia'],6.6E9
John C. Malone,"['Yale University', 'Johns Hopkins University', 'New York University', 'Doctor of Philosophy']",6.5E9
John Doerr,"['Rice University', 'Harvard Business School']",4.1E9
Jamie Dimon,"['Tufts University', 'Harvard Business School']",1.1
Jeff Bezos,['Princeton University'],4.89E10
Jeff Greene,"['Johns Hopkins University', 'Harvard Business School']",3.0E9
Jeff Sutton (real estate developer),['University of Pennsylvania'],3.4E9
Jerome Kohlberg Jr.,"['Swarthmore College', 'Columbia Law School', 'Harvard Business School']",1.2E9
John Franklyn Mars,"['Yale University', 'Hotchkiss School']",2.36E10
John J. Fisher,"['Princeton University', 'Stanford University']",2.4E9
John Kluge,['Columbia University'],6.5E9
John Ordronaux (doctor),"['Dartmouth College', 'Harvard Law School', 'National_Medical_School']",2757000.0
John Paulson,"['New York University', 'Harvard Business School', 'Master of Business Administration', 'Bachelor of Science']",9.8E9
John S. Middleton,"['Amherst College', 'Harvard Business School']",1.8E9
Jon Oringer,"['Columbia University', 'Stony Brook University']",1.0E9
Jonathan D. Gray,['University of Pennsylvania'],1.66E9
Jonathan M. Nelson,"['Brown University', 'Harvard Business School']",1.76E9
Jorge Paulo Lemann,['Harvard University'],2.82E10
Joshua Harris (businessman),"['Wharton School of the University of Pennsylvania', 'Harvard Business School']",2.4E9
J. Christopher Flowers,['Harvard University'],1.4E9
Jacky Xu,"['Nanyang Technological University', 'University of Liverpool', 'Harvard University']",1000000.0
Jaime Aristotle Alip,"['University of the Philippines', 'Harvard Business School']",6000000.0
Jaime Gilinski Bacal,['Harvard Business School'],2.9E9
James Dinan,"['University of Pennsylvania', 'Harvard University']",1.6E9
Ken Moelis,['Wharton School of the University of Pennsylvania'],3.86E8
Kenneth C. Griffin,['Harvard University'],7.3E9
Keshub Mahindra,"['University of Pennsylvania', 'Wharton School of the University of Pennsylvania']",6.15E8
Larry Robbins,['University of Pennsylvania'],2.3E9
Laurene Powell Jobs,"['University of Pennsylvania', 'Stanford Graduate School of Business', 'Master of Business Administration', 'Bachelor of Science', 'Bachelor of Arts']",1.67E10
Lee Bass,"['Yale University', 'Wharton School of the University of Pennsylvania']",1.96E9
Lee Jae-yong,"['Seoul National University', 'Keio University', 'Harvard Business School']",7.9E9
Leon Black,"['Dartmouth College', 'Harvard Business School']",4.5E9
Leon G. Cooperman,"['Columbia University', 'Hunter College']",3.7E9
Leonard Blavatnik,"['Columbia University', 'Moscow State University of Railway Engineering', 'Harvard University']",1.68E10
Leonard Lauder,"['Columbia University', 'University of Pennsylvania']",9.1E9
Leonard Schleifer,"['University of Virginia', 'Cornell University']",1.0E9
